build time	recall	latency	build time	recall	latency	build time	recall	latency	build time	recall	latency
2.5792	0.3638	0.2688	26.5093	0.8035	0.2579	215.9778	0.8891	1.2691	351.4012	0.8891	1.3718
2.5792	0.3638	0.2568	9.7281	0.8049	0.1561	15.8576	0.8893	1.1117	42.4312	0.8893	1.8125
2.6378	0.3658	0.2265	16.2124	0.8092	0.2845	65.4904	0.8932	1.0204	66.2984	0.8932	1.3799
2.4447	0.3664	0.2272	21.633	0.8118	0.282	30.4446	0.8941	1.0479	31.153	0.8941	1.5463
2.6821	0.3673	0.2875	27.0219	0.8121	0.1584	72.7745	0.8966	1.0149	71.9609	0.8966	0.9578
2.6821	0.3673	0.2627	18.9386	0.8167	0.1577	9.6507	0.8974	1.6379	13.4644	0.8974	2.4434
2.6821	0.3673	0.2511	9.7281	0.8182	0.1682	36.6318	0.9054	1.0759	38.3098	0.9054	1.575
2.532	0.3684	0.2205	12.3848	0.8184	0.3677	85.3097	0.9058	1.118	86.7116	0.9058	1.5101
2.6827	0.3695	0.2338	28.877	0.8185	0.1703	22.6043	0.9097	1.299	23.945	0.9097	2.0111
2.6079	0.3701	0.2409	16.2124	0.8193	0.3097	43.9829	0.9135	1.1195	44.621	0.9135	1.6677
3.4225	0.3751	0.2748	23.1063	0.8219	0.1892	99.5256	0.9152	1.2273	98.2151	0.9152	1.5683
3.4225	0.3751	0.2481	20.9279	0.8234	0.1975	50.0796	0.9187	1.228	52.3572	0.9187	1.7817
3.4225	0.3751	0.2387	12.4577	0.8239	0.1748	116.8217	0.9205	1.4326	115.7571	0.9205	1.6839
3.4225	0.3751	0.2384	27.599	0.8311	0.1852	30.4446	0.9231	1.3244	31.153	0.9231	1.9735
3.4225	0.3751	0.2185	34.4478	0.8348	0.1668	124.5	0.9257	1.5095	124.9989	0.9257	1.7518
2.9693	0.376	0.2811	16.2124	0.8371	0.3626	57.9609	0.9264	1.2719	58.5044	0.9264	1.8719
2.9693	0.376	0.258	21.633	0.8399	0.3536	9.6507	0.9295	2.0308	13.4644	0.9295	3.3263
2.9693	0.376	0.2368	9.7281	0.8402	0.1914	65.4904	0.9313	1.3535	66.2984	0.9313	1.8506
2.9693	0.376	0.2371	26.5093	0.8422	0.347	136.0968	0.9314	1.4623	137.9041	0.9314	1.8014
2.9693	0.376	0.2282	18.9386	0.8479	0.1858	15.8576	0.9317	1.5938	42.4312	0.9317	2.6458
3.8893	0.3827	0.3343	25.2852	0.8484	0.1599	36.6318	0.932	1.3684	38.3098	0.932	2.1108
3.6157	0.384	0.3405	21.633	0.8502	0.3891	149.0369	0.9339	1.6722	152.9462	0.9339	1.8801
3.4009	0.3845	0.3463	16.2124	0.8506	0.4153	72.7745	0.9346	1.3154	71.9609	0.9346	1.2752
2.7606	0.3863	0.2988	28.8327	0.8508	0.208	161.902	0.9374	1.7833	167.1864	0.9374	1.8731
2.7606	0.3863	0.2568	24.1458	0.8522	0.1793	43.9829	0.9377	1.406	44.621	0.9377	2.1883
3.3766	0.3892	0.3324	27.599	0.8573	0.1892	178.6494	0.9409	1.9356	176.9152	0.9409	2.0248
3.3452	0.3893	0.3042	9.7281	0.8579	0.2142	85.3097	0.9417	1.4785	86.7116	0.9417	2.0654
3.3452	0.3893	0.2983	12.4577	0.858	0.2097	50.0796	0.9428	1.51	52.3572	0.9428	2.207
2.901	0.3896	0.3179	20.9279	0.858	0.2188	190.0264	0.9435	1.857	193.5411	0.9435	2.1765
2.901	0.3896	0.2861	21.633	0.8592	0.4239	22.6043	0.9456	1.8238	23.945	0.9456	2.8064
2.8771	0.3911	0.2314	16.2124	0.8617	0.4703	205.4182	0.9463	1.7741	250.2741	0.9463	2.2194
2.8771	0.3911	0.2525	23.1063	0.8645	0.2262	99.5256	0.9471	1.55	98.2151	0.9471	2.1548
3.5819	0.3911	0.3267	34.9239	0.8665	0.168	215.9778	0.9472	1.9085	351.4012	0.9472	2.3622
3.4225	0.3913	0.2345	26.5093	0.8671	0.4491	57.9609	0.948	1.5654	58.5044	0.948	2.4263
